day_of_month,carrier,fl_num,origin,dest,crs_dep_time,dep_time,dep_delay,taxi_out,crs_arr_time,arr_time,arr_delay,cancelled
1,AA,56,DEN,MIA,1045,1040,-5,12,1641,1613,-28,0
1,AA,57,MIA,DEN,2014,2014,0,14,2245,2247,2,0
1,AA,158,DEN,DFW,617,617,0,12,925,907,-18,0
1,AA,361,DFW,DEN,2200,2200,0,15,2305,2303,-2,0
1,AA,367,DFW,GUC,1205,1216,11,15,1318,1327,9,0
1,AA,367,GUC,DFW,1358,1358,0,18,1655,1654,-1,0
1,AA,372,DEN,DFW,1239,1243,4,10,1540,1529,-11,0
1,AA,372,DFW,DEN,1045,1058,13,18,1152,1159,7,0
1,AA,327,DEN,ORD,700,658,-2,16,1035,1023,-12,0
1,AA,1019,DFW,COS,1840,2019,99,29,1940,2126,106,0
1,AA,375,DEN,DFW,500,511,11,14,804,759,-5,0
1,AA,1155,EGE,DFW,801,801,0,36,1120,1126,6,0
1,AA,1184,DEN,DFW,1434,1432,-2,8,1740,1726,-14,0
1,AA,1184,DFW,DEN,1250,1244,-6,14,1353,1349,-4,0
1,AA,1185,ORD,EGE,1015,1011,-4,13,1212,1151,-21,0
1,AA,1242,DEN,DFW,1550,1547,-3,10,1846,1832,-14,0
1,AA,1242,DFW,DEN,1350,1350,0,16,1455,1452,-3,0
1,AA,1513,COS,DFW,1605,1558,-7,10,1853,1835,-18,0
1,AA,1513,DFW,COS,1425,1421,-4,10,1518,1507,-11,0
1,AA,1431,COS,DFW,1120,1117,-3,13,1409,1359,-10,0
1,AA,1535,DFW,HDN,1140,1127,-13,13,1302,1236,-26,0
1,AA,1535,HDN,DFW,1400,1355,-5,10,1715,1649,-26,0
1,AA,1540,DFW,HDN,1340,1332,-8,17,1504,1437,-27,0
1,AA,1540,HDN,DFW,1600,1557,-3,10,1915,1902,-13,0
1,AA,1542,DFW,DEN,1850,1852,2,14,1958,1950,-8,0
1,AA,1555,DEN,ORD,1009,1003,-6,44,1340,1359,19,0
1,AA,1562,DFW,GUC,1350,1343,-7,14,1500,1446,-14,0
1,AA,1562,GUC,DFW,1605,1555,-10,9,1902,1907,5,0
1,AA,1467,DFW,EGE,1835,1837,2,12,1958,NA,NA,1
1,AA,1494,EGE,DFW,1409,1419,10,16,1725,1724,-1,0
1,AA,1494,LAX,EGE,1010,1004,-6,14,1333,1327,-6,0
1,AA,1496,DFW,MTJ,1055,1054,-1,20,1210,1220,10,0
1,AA,1496,MTJ,DFW,1250,1257,7,25,1550,1610,20,0
1,AA,1092,DFW,EGE,1700,1659,-1,16,1823,1808,-15,0
1,AA,1092,EGE,LAX,1910,1855,-15,10,2026,1959,-27,0
1,AA,1100,DFW,EGE,1350,1346,-4,22,1511,1512,1,0
1,AA,1100,EGE,DFW,1603,1605,2,14,1910,1920,10,0
1,AA,1569,DEN,DFW,1915,1904,-11,10,2212,2141,-31,0
1,AA,1569,DFW,DEN,1720,1719,-1,14,1826,1821,-5,0
1,AA,1620,DEN,DFW,1115,1110,-5,13,1412,1357,-15,0
1,AA,1620,DFW,DEN,905,923,18,14,1014,1027,13,0
1,AA,1634,DEN,DFW,1724,1722,-2,12,2028,2002,-26,0
1,AA,1634,DFW,DEN,1540,1539,-1,10,1644,1638,-6,0
1,AA,1640,EGE,ORD,1440,1456,16,15,1825,1832,7,0
1,AA,2303,DEN,ORD,1720,1720,0,9,2052,2038,-14,0
1,AA,2303,ORD,DEN,1431,1451,20,10,1613,1604,-9,0
1,AA,2315,EGE,MIA,1100,1059,-1,13,1659,1647,-12,0
1,AA,2315,MIA,EGE,705,654,-11,17,955,936,-19,0
1,AA,2318,DEN,DFW,800,759,-1,14,1101,1055,-6,0
1,AA,2342,DEN,MIA,2359,2356,-3,22,543,527,-16,0
1,AA,2516,ORD,DEN,1720,1855,95,17,1903,2018,75,0
1,AA,426,PHX,DEN,1815,1904,49,16,2001,2055,54,0
1,AA,428,DEN,CLT,1010,1010,0,50,1523,1541,18,0
1,AA,445,CLT,DEN,929,930,1,17,1114,1115,1,0
1,AA,459,PHX,DEN,939,956,17,25,1129,1152,23,0
1,AA,462,DEN,PHL,1120,1115,-5,19,1652,1641,-11,0
1,AA,468,CLT,DEN,1825,1824,-1,17,2015,1957,-18,0
1,AA,494,PHX,DEN,1955,1946,-9,28,2144,2205,21,0
1,AA,496,PHX,DEN,2255,2248,-7,13,37,50,13,0
1,AA,521,CLT,DEN,1155,1149,-6,18,1349,1328,-21,0
1,AA,521,DEN,PHX,1440,1435,-5,25,1633,1635,2,0
1,AA,534,DEN,PHX,759,802,3,17,955,1003,8,0
1,AA,564,PHL,DEN,2050,2047,-3,24,2311,2244,-27,0
1,AA,586,DEN,PHX,2059,2135,36,33,2255,2339,44,0
1,AA,591,DEN,PHX,540,538,-2,14,741,728,-13,0
1,AA,642,PHX,DEN,1550,1547,-3,13,1737,1732,-5,0
1,AA,667,DEN,PHX,1215,1233,18,10,1407,1421,14,0
1,AA,686,DEN,PHL,705,711,6,12,1233,1222,-11,0
1,AA,693,DEN,PHX,1830,1824,-6,13,2023,2016,-7,0
1,AA,730,DEN,CLT,1205,1216,11,10,1712,1707,-5,0
1,AA,731,CLT,DEN,2220,2214,-6,30,2,7,5,0
1,AA,851,PHL,DEN,1835,1830,-5,28,2107,2035,-32,0
1,AA,887,DEN,CLT,640,642,2,35,1201,1154,-7,0
