"Distance","Paper","Angle","Design"
2160,"80gms","Horizontal","High-performance"
1511,"80gms","Horizontal","High-performance"
4596,"80gms","Horizontal","Incedibly simple"
3706,"80gms","Horizontal","Incedibly simple"
3854,"80gms","45 Degrees","High-performance"
1690,"80gms","45 Degrees","High-performance"
5088,"80gms","45 Degrees","Incedibly simple"
4255,"80gms","45 Degrees","Incedibly simple"
6520,"50gms","Horizontal","High-performance"
4091,"50gms","Horizontal","High-performance"
2130,"50gms","Horizontal","Incedibly simple"
3150,"50gms","Horizontal","Incedibly simple"
6348,"50gms","45 Degrees","High-performance"
4550,"50gms","45 Degrees","High-performance"
2730,"50gms","45 Degrees","Incedibly simple"
2585,"50gms","45 Degrees","Incedibly simple"
