"Sex","Age","Shape","id","trial","time"
"M",31,"Box","1","1",2.68
"M",30,"Box","2","1",7.09
"M",30,"Box","3","1",6.05
"M",27,"Box","4","1",4.35
"M",30,"Box","5","1",4.08
"M",28,"Box","6","1",8.22
"M",34,"Box","7","1",4.51
"M",28,"Box","8","1",7.36
"M",28,"Box","9","1",3.34
"M",33,"Box","10","1",7.19
"F",17,"Box","11","1",2.18
"F",24,"Box","12","1",3.23
"F",7,"Box","13","1",0.23
"M",11,"Box","14","1",0.52
"F",38,"Box","15","1",3.09
"M",45,"Box","16","1",1.04
"F",7,"Box","17","1",1.33
"F",10,"Box","18","1",2.61
"F",10,"Box","19","1",2.15
"M",31,"Box","20","1",4.93
"M",33,"Box","21","1",4.68
"M",52,"Box","22","1",2.34
"F",13,"Box","23","1",2.32
"M",37,"Box","24","1",3.7
"M",10,"Box","25","1",1.93
"M",11,"Box","26","1",1.27
"M",12,"Box","27","1",0.54
"M",13,"Box","28","1",2.54
"M",41,"Box","29","1",2.18
"M",7,"Box","30","1",0.35
"F",39,"Box","31","1",1.79
"M",11,"Box","32","1",3.17
"M",10,"Box","33","1",4.08
"M",37,"Box","34","1",2.83
"F",38,"Box","35","1",2.31
"F",6,"Box","36","1",0.28
"M",11,"Box","37","1",2.52
"F",45,"Box","38","1",1.4
"F",13,"Box","39","1",3.73
"M",49,"Box","40","1",2.32
"F",5,"Box","41","1",0.13
"F",45,"Box","42","1",0.22
"M",10,"Box","43","1",1.16
"M",13,"Box","44","1",2.35
"M",13,"Box","45","1",2.31
"M",11,"Box","46","1",2.77
"F",11,"Box","47","1",1.55
"M",39,"Box","48","1",2.52
"F",36,"Box","49","1",3.66
"F",11,"Box","50","1",2.13
"M",41,"Box","51","1",1
"M",7,"Box","52","1",0.84
"M",42,"Box","53","1",1.68
"M",9,"Box","54","1",1.66
"M",8,"Box","55","1",1.54
"F",40,"Box","56","1",2.04
"M",40,"Box","57","1",3.28
"M",8,"Box","58","1",0.96
"M",7,"Box","59","1",0.75
"F",8,"Box","60","1",0.24
"M",40,"Box","61","1",1.28
"M",6,"Box","62","1",0.4
"F",8,"Box","63","1",2.06
"F",2,"Circle","64","1",0.61
"M",13,"Box","65","1",3.82
"F",12,"Box","66","1",1.67
"M",45,"Box","67","1",3.57
"M",9,"Circle","68","1",1.31
"F",40,"Box","69","1",4.08
"M",38,"Box","70","1",4.21
"M",13,"Box","71","1",2.48
"F",10,"Circle","72","1",4.44
"F",14,"Box","73","1",3
"F",10,"Circle","74","1",1.71
"M",7,"Circle","75","1",0.27
"M",8,"Circle","76","1",2.3
"M",37,"Circle","77","1",6.88
"F",9,"Circle","78","1",6.08
"F",12,"Circle","79","1",3.04
"M",11,"Circle","80","1",4.44
"M",39,"Circle","81","1",9.33
"F",34,"Circle","82","1",6.08
"F",6,"Circle","83","1",0.54
"M",32,"Circle","84","1",6.6
"M",29,"Circle","85","1",6.87
"M",6,"Circle","86","1",0.25
"F",10,"Circle","87","1",5.23
"M",6,"Circle","88","1",1.85
"M",38,"Circle","89","1",4.01
"F",8,"Circle","90","1",1.34
"M",9,"Circle","91","1",2.06
"M",9,"Circle","92","1",0.88
"M",13,"Circle","93","1",6.39
"M",6,"Circle","94","1",0.33
"F",35,"Circle","95","1",8.05
"F",11,"Circle","96","1",2.98
"M",45,"Circle","97","1",5.01
"F",7,"Circle","98","1",0.27
"F",27,"Circle","99","1",4.69
"M",24,"Circle","100","1",7.61
"F",7,"Circle","101","1",1.08
"F",49,"Circle","102","1",7.4
"M",13,"Circle","103","1",3.18
"M",42,"Circle","104","1",9.03
"F",8,"Circle","105","1",1.87
"M",5,"Circle","106","1",0.29
"F",39,"Circle","107","1",3.25
"M",36,"Circle","108","1",7.62
"M",31,"Box","1","2",4.14
"M",30,"Box","2","2",8.55
"M",30,"Box","3","2",6.25
"M",27,"Box","4","2",6.5
"M",30,"Box","5","2",6
"M",28,"Box","6","2",8.01
"M",34,"Box","7","2",4.35
"M",28,"Box","8","2",6.63
"M",28,"Box","9","2",5.24
"M",33,"Box","10","2",7.96
"F",17,"Box","11","2",5.96
"F",24,"Box","12","2",3.69
"F",7,"Box","13","2",0.2
"M",11,"Box","14","2",0.56
"F",38,"Box","15","2",3.85
"M",45,"Box","16","2",2.27
"F",7,"Box","17","2",1.43
"F",10,"Box","18","2",4.27
"F",10,"Box","19","2",3.26
"M",31,"Box","20","2",5.58
"M",33,"Box","21","2",4.46
"M",52,"Box","22","2",4.7
"F",13,"Box","23","2",2.73
"M",37,"Box","24","2",4.61
"M",10,"Box","25","2",2.12
"M",11,"Box","26","2",1.27
"M",12,"Box","27","2",0.4
"M",13,"Box","28","2",2.72
"M",41,"Box","29","2",3.45
"M",7,"Box","30","2",0.63
"F",39,"Box","31","2",3.48
"M",11,"Box","32","2",3.71
"M",10,"Box","33","2",4.46
"M",37,"Box","34","2",4.56
"F",38,"Box","35","2",3.01
"F",6,"Box","36","2",0.15
"M",11,"Box","37","2",2.17
"F",45,"Box","38","2",0.38
"F",13,"Box","39","2",3.53
"M",49,"Box","40","2",2.5
"F",5,"Box","41","2",0.41
"F",45,"Box","42","2",0.33
"M",10,"Box","43","2",1.45
"M",13,"Box","44","2",3.35
"M",13,"Box","45","2",4.12
"M",11,"Box","46","2",3.86
"F",11,"Box","47","2",1.32
"M",39,"Box","48","2",3.99
"F",36,"Box","49","2",7.01
"F",11,"Box","50","2",3.71
"M",41,"Box","51","2",2.9
"M",7,"Box","52","2",1.14
"M",42,"Box","53","2",3.33
"M",9,"Box","54","2",2.38
"M",8,"Box","55","2",2.54
"F",40,"Box","56","2",3.12
"M",40,"Box","57","2",4.95
"M",8,"Box","58","2",1.74
"M",7,"Box","59","2",0.81
"F",8,"Box","60","2",1.17
"M",40,"Box","61","2",4.65
"M",6,"Box","62","2",0.97
"F",8,"Box","63","2",3.07
"F",2,"Circle","64","2",0.5
"M",13,"Box","65","2",2.89
"F",12,"Box","66","2",2.04
"M",45,"Box","67","2",5.22
"M",9,"Circle","68","2",1.2
"F",40,"Box","69","2",3.97
"M",38,"Box","70","2",6.13
"M",13,"Box","71","2",2.28
"F",10,"Circle","72","2",3.82
"F",14,"Box","73","2",2.93
"F",10,"Circle","74","2",2.08
"M",7,"Circle","75","2",2.2
"M",8,"Circle","76","2",3.01
"M",37,"Circle","77","2",8.2
"F",9,"Circle","78","2",4.43
"F",12,"Circle","79","2",2.69
"M",11,"Circle","80","2",4.25
"M",39,"Circle","81","2",10.68
"F",34,"Circle","82","2",6.13
"F",6,"Circle","83","2",0.14
"M",32,"Circle","84","2",7.22
"M",29,"Circle","85","2",7.28
"M",6,"Circle","86","2",0.87
"F",10,"Circle","87","2",3.49
"M",6,"Circle","88","2",1.53
"M",38,"Circle","89","2",6.03
"F",8,"Circle","90","2",1.32
"M",9,"Circle","91","2",1.83
"M",9,"Circle","92","2",0.93
"M",13,"Circle","93","2",7.35
"M",6,"Circle","94","2",0.27
"F",35,"Circle","95","2",6.11
"F",11,"Circle","96","2",2.53
